name	tier	score	campus	km	band	locality	email	website	phone	tato_cats	established	founded	size_check	notes
LEOPARD TOURS LTD	A	96	Ilboru	2.3	0-5 km	arusha	leopardtours@leopardtours.co.tz	www.leopard-tours.com	+255 27 2548441	TO/MAIN	Y	1985		
KILI VIKINGS LIMITED	A	95	Ilboru	2.3	0-5 km	arusha	info@kilivikings.com	kilivikings.com	255 769 654 036	TO/DMC/TREK/MAIN				
LET'S DISCOVER AFRICA LIMITED	A	95	Ilboru	2.3	0-5 km	arusha	contactus@letsdiscoverafrica.com	www.letsdiscoverafrica.com	+971 58 553 8200 / +255 684 375 391	TO/DMC/TREK/MAIN				
Translen investments and trading ltd	A	95	Ilboru	2.3	0-5 km	arusha	info@transleninvestments.com	www.transleninvestments.com	+255 786 357 560	TO/DMC/MAIN				
Alika Africa	A	92	Ilboru	2.3	0-5 km	arusha	info@dumaexplorer.com	www.dumaexplorer.com	+255-674-180-183 | +1-510-424-1675	TO/DMC/TREK/MAIN		2002		
Firstpace African Travel CO LTD	A	91	Kijenge	6.3	6-10 km	engutoto	info@firstpaceafrica.com	firstpaceafrica.com	+255 764 267 806 | +255 682 223 882	TO/DMC/TREK/MAIN				
NORTHLAND SAFARIS LTD	A	91	Usa River	0	0-5 km	usa river	info@northlandsafaris.com	www.northlandsafaris.com	+255 78852 0000 | +255 744 864 000	TO/MAIN				
The Wanderer Tanzania Ltd	A	91	Arusha City (Sakina)	5.6	6-10 km	ngaramtoni	info@wanderertanzania.com	www.wanderertanzania.com	+255 789 548 857 | +316 39 67 03 26	TO/DMC/TREK/MAIN				
Destiny Explorers Limited	A	90	Arusha City (Sakina)	2.8	0-5 km	soweto	info@destinyexplorers.com	www.destinyexplorers.com	+255 710 062 816	TO/DMC/TREK/MAIN		2023		
Fortes Africa Ltd	A	90	Ilboru	2	0-5 km	station road	fortes@fortes-africa.com	www.fortes-africa.com	+255 784 520 550	TO/DMC/TREK/MAIN		1980		
INTREPID TRAVEL TANZANIA LIMITED	A	90	Ilboru	1.7	0-5 km	philips	Elirehema.Mshana@intrepidtravel.com	www.intrepidtravel.com	+255 787 906 871 | +255 758 509 579	TO/DMC/TREK/MAIN		1989		
TRAVEL BOOKING GUIDE LTD	A	90	Ilboru	2.3	0-5 km	arusha	Sales@travelbookingtz.com	www.travelbookingtz.com	+255 783 550 522 | +255 713 068 560	TO/DMC/TREK/MAIN		2012		
Volunteers Africa Heart's Desire Limited	A	90	Usa River	0	0-5 km	usa river	info@africaheartsdesire.com	africaheartsdesire.com	+255 718 219 720 | +255 746 108 950	TO/DMC/TREK/MAIN		2020		
Westway Safaris Ltd	A	90	Arusha City (Sakina)	2.5	0-5 km	pangani	info@westwaysafaris.com	westwaysafaris.com	+255787090482	TO/DMC/TREK/MAIN		2021		
Game Drive Travel Africa Safari Agency	A	87	Ilboru	2.3	0-5 km	arusha	info@travelafricasafariagency.com	travelafricasafariagency.com	+255-766-851-943 | +255-652-636-484	TO/DMC/TREK/MAIN				
Jambo Masai Tours	A	87	Ilboru	2.3	0-5 km	arusha	info@jambomasaitours.com	jambomasaitours.com	+255 659667271	TO/DMC/TREK/MAIN				
Kilidove Tours	A	87	Ilboru	2.3	0-5 km	arusha	kili@kilidovetours.com	www.kilidovetours.com	+255 713 404912 | +255 753 181516	TO/DMC/MAIN				
Sereland Africa Safaris	A	87	Ilboru	1.9	0-5 km	kaloleni	info@serelandafricasafaris.com	serelandafricasafaris.com	+255 719 977 446 | +255 743 170 649	TO/DMC/TREK/MAIN				
Six and Seven Tours	A	87	Ilboru	2.3	0-5 km	arusha	info@sixandseventours.com	sixandseventours.com	+255715720917 | +255689105605	TO/DMC/TREK/MAIN				
Whistling Travel	A	87	Ilboru	2.3	0-5 km	arusha cbd	info@whistlingtravel.co.tz	whistlingtravel.co.tz	+255 655777771	TO/DMC/TREK/MAIN				
Anderson's African Adventures Ltd	A	86	Ilboru	2.3	0-5 km	arusha	info@andersons.co.za	www.andersons.co.za	+255-27-250 63 90 | +255-27-250 63 92	TO/MAIN	Y	1986		
PAJOTA SAFARIS LTD	A	86	Ilboru	2.3	0-5 km	arusha	info@pajotasafaris.com	www.pajotasafaris.com	+255-787-135995	TO/MAIN	Y	2005		
4StrokeMaasai Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@4strokemaasai.com	www.4strokemaasai.com	+255 784 555 573	TO/DMC/MAIN				
AARDVARK EXPEDITIONS LIMITED	A	85	Ilboru	2.3	0-5 km	arusha city	info@aardvark-expeditions.com	www.aardvark-expeditions.com	+255784424905 | +255624047113	TO/DMC/MAIN				
AFRICAN SPOONBILL TOURS AND SAFARIS LTD	A	85	Ilboru	2.4	0-5 km	india street	info@africanspoonbilltours.com	www.africanspoonbilltours.com	+255 713408291 | +255 782408291	TO/DMC/MAIN				
Afrika Roots Safari Company Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@afrikaroots.com	afrikaroots.com	+255 743 018 355 | +1 (206) 207-8848	TO/DMC/TREK/MAIN				
Afrisafaris Tanzania ltd	A	85	Ilboru	2.3	0-5 km	arusha cbd	kibwana.issa@afrisafaristanzania.com	www.afrisafaristanzania.com	+255 786 341 998	TO/DMC/TREK/MAIN				
AIM 2 GOAL SAFARIS LTD	A	85	Ilboru	1.7	0-5 km	philips	info@aim2goalsafaris.co.tz	www.aim2goalsafaris.co.tz	+255 787 465 755	TO/DMC/TREK/MAIN				
Ajabu Adventures Ltd.	A	85	Ilboru	2.3	0-5 km	arusha	info@ajabu-adventures.com	www.ajabu-adventures.com	+255 753 433 211 | +1 505 610 8538	TO/DMC/MAIN				
BALD EAGLE SAFARIS LIMITED	A	85	Ilboru	2.3	0-5 km	arusha	Info@baldeaglesafaris.com	www.baldeaglesafaris.com	+255 711 718 873 / +255 689 52 22 05	TO/DMC/TREK/MAIN				
Base Camp Site Ltd	A	85	Ilboru	2.3	0-5 km	arusha	management@basecamptanzania.com	www.basecamptanzania.co.tz	+255-784-186-422	DMC/TREK/AIR				
Big Time Adventures Ltd	A	85	Kijenge	1.7	0-5 km	ngulelo	info@bigtimeadventures.co.tz	bigtimeadventures.co.tz	+1 (404) 409-6645 | +255 760 600 746	TO/DMC/TREK/MAIN				
Conservation Caravan Safaris Ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@conservationcaravansafaris.com	www.conservationcaravansafaris.com	+255 785467173 | +255 784379383	TO/DMC/TREK/MAIN				
Ebony Tours & Safaris Ltd	A	85	Ilboru	2.3	0-5 km	arusha	arkoff@ebony-safaris.com	www.ebony-safaris.com	+255 783 011153 / +255 715 559 754	TO/DMC/TREK/MAIN				
EYES OF TANZANIA LIMITED	A	85	Usa River	1.2	0-5 km	leganga	info@eyes-of-tanzania.com	www.eyes-of-tanzania.com	+255759194113	TO/DMC/TREK/MAIN				
